File,Description,CleanMerchant,Amount
"14_Jan_2025_-_13_Feb_2025.pdf","PAYMENT RECEIVED - THANK YOU","PAYMENT RECEIVED - THANK YOU",-1077.82
"14_Jan_2025_-_13_Feb_2025.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",21
"14_Jan_2025_-_13_Feb_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH","TESCO",7.1
"14_Jan_2025_-_13_Feb_2025.pdf","TRIP.COM                INTERNET","TRIP.COM                INTERNET",795
"14_Jan_2025_-_13_Feb_2025.pdf","POST OFFICE EASTLEIGH   EASTLEIGH","POST OFFICE EASTLEIGH   EASTLEIGH",10.35
"14_Jan_2025_-_13_Feb_2025.pdf","2172-EASTLEIGH          HANTS","2172-EASTLEIGH          HANTS",2.98
"14_Jan_2025_-_13_Feb_2025.pdf","ENTERPRISE RENT A CAR U EASTLEIGH","ENTERPRISE RENT A CAR U EASTLEIGH",35
"14_Jan_2025_-_13_Feb_2025.pdf","AMAZON PRIME*891B87OD5  AMZN.CO.UK/PM","AMAZON",8.99
"14_Jan_2025_-_13_Feb_2025.pdf","WAGAMAMA                SOUTHAMPTON RETAIL","WAGAMAMA                SOUTHAMPTON RETAIL",63.7
"14_Jan_2025_-_13_Feb_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH","TESCO",4.14
"14_Jan_2025_-_13_Feb_2025.pdf","AFIYET OGLUM AFIYET OGL SOUTHAMPTON","AFIYET OGLUM AFIYET OGL SOUTHAMPTON",39.8
"14_Jan_2025_-_13_Feb_2025.pdf","Muse Coffee Co          Southampton","Muse Coffee Co          Southampton",12
"14_Feb_2025_-_13_Mar_2025.pdf","PAYMENT RECEIVED - THANK YOU","PAYMENT RECEIVED - THANK YOU",-1000
"14_Feb_2025_-_13_Mar_2025.pdf","TK MAXX                 SOUTHAMPTON","TK MAXX                 SOUTHAMPTON",39.99
"14_Feb_2025_-_13_Mar_2025.pdf","ROOSTERS PIRI PIRI - EA EASTLEIGH","ROOSTERS PIRI PIRI - EA EASTLEIGH",21.67
"14_Feb_2025_-_13_Mar_2025.pdf","ASDA FILLING STATION (U EASTLEIGH ASDA Fuel","ASDA FILLING STATION (U EASTLEIGH ASDA Fuel",47.26
"14_Feb_2025_-_13_Mar_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",48.44
"14_Feb_2025_-_13_Mar_2025.pdf","AFIYET OGLUM AFIYET OGL SOUTHAMPTON","AFIYET OGLUM AFIYET OGL SOUTHAMPTON",29.35
"14_Feb_2025_-_13_Mar_2025.pdf","REEVE THE BAKER         ROMSEY","REEVE THE BAKER         ROMSEY",18.15
"14_Feb_2025_-_13_Mar_2025.pdf","ENTERPRISE RENT A CAR U EASTLEIGH","ENTERPRISE RENT A CAR U EASTLEIGH",115.45
"14_Feb_2025_-_13_Mar_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH","TESCO",4.4
"14_Feb_2025_-_13_Mar_2025.pdf","COSY CLUB STAMFORD      STAMFORD","COSY CLUB STAMFORD      STAMFORD",83.9
"14_Feb_2025_-_13_Mar_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH","TESCO",12.15
"14_Feb_2025_-_13_Mar_2025.pdf","AVIS BUDGET UK LTD SOUT SOUTHAMPTON RENTAL -  LOCATION:   SOUTHAMPTON DATE:          21/02/25","AVIS BUDGET UK LTD SOUT SOUTHAMPTON RENTAL -  LOCATION:   SOUTHAMPTON DATE:          21/02/25",143.29
"14_Feb_2025_-_13_Mar_2025.pdf","ASDA FILLING STATION (U EASTLEIGH ASDA Fuel","ASDA FILLING STATION (U EASTLEIGH ASDA Fuel",51.8
"14_Feb_2025_-_13_Mar_2025.pdf","IKEA LTD 125 SOUTHAMPTO SOUTHAMPTON GOODS","IKEA LTD 125 SOUTHAMPTO SOUTHAMPTON GOODS",275
"14_Feb_2025_-_13_Mar_2025.pdf","ROOSTERS PIRI PIRI-EAST EASTLEIGH","ROOSTERS PIRI PIRI-EAST EASTLEIGH",18.68
