File,Description,Amount
"14_Apr_2026_-_13_May_2026.pdf","PAYMENT RECEIVED - THANK YOU",-89.67
"14_Apr_2026_-_13_May_2026.pdf","NETFLIX.COM 203832      LND",12.99
"14_Apr_2026_-_13_May_2026.pdf","LINKEDIN*P3004743185    DUBLIN",14.99
"14_Apr_2026_-_13_May_2026.pdf","C2E961801508F UKVI      UKVI",2925
"14_Apr_2026_-_13_May_2026.pdf","TJX UK                  WATFORD",25.17
"14_Apr_2026_-_13_May_2026.pdf","CKO*TEMU 626864         LONDON",32.69
"14_Apr_2026_-_13_May_2026.pdf","LEBARA MOBILE LIMITED   LONDON",10
"14_Apr_2026_-_13_May_2026.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",15.46
"14_Apr_2026_-_13_May_2026.pdf","IHSC0000011207907 UKVI  UKVI",5175
"14_Aug_2025_-_13_Sep_2025.pdf","NETFLIX.COM 203832      LND",12.99
"14_Aug_2025_-_13_Sep_2025.pdf","JD Wetherspoons PLC     Watford,",11.72
"14_Aug_2025_-_13_Sep_2025.pdf","SHAN SHUI               HOUNSLOW",28.63
"14_Aug_2025_-_13_Sep_2025.pdf","WH SMITH HEATHROW T2    HOUNSLOW GOODS",6.79
"14_Aug_2025_-_13_Sep_2025.pdf","CAFFE NERO HT 2B HUB HE HUNSLOW",2.95
"14_Aug_2025_-_13_Sep_2025.pdf","DOJO*BONG THAI          SLOUGH",23.59
"14_Aug_2025_-_13_Sep_2025.pdf","T/A GOLDEN CROSS SERVIC SLOUGH BP Old Bath Road COLNBROOK",8.58
"14_Aug_2025_-_13_Sep_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",4.68
"14_Aug_2025_-_13_Sep_2025.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",10.53
"14_Aug_2025_-_13_Sep_2025.pdf","LEBARA MOBILE LIMITED   LONDON",5
"14_Aug_2025_-_13_Sep_2025.pdf","SOUTHERN CO-OP LEIGH RO EASTLEIGH 0310  Eastleigh Leigh Rd",1.3
"14_Aug_2025_-_13_Sep_2025.pdf","LATE PAYMENT FEE",12
"14_Dec_2025_-_13_Jan_2026.pdf","PAYMENT RECEIVED - THANK YOU",-432.01
"14_Dec_2025_-_13_Jan_2026.pdf","NETFLIX.COM 203832      LND",12.99
"14_Dec_2025_-_13_Jan_2026.pdf","TESCO STORE 2452 2452TE EASTLEIGH",3.55
"14_Dec_2025_-_13_Jan_2026.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",28.53
"14_Dec_2025_-_13_Jan_2026.pdf","844043 Eastleigh        Eastleigh",3.8
"14_Dec_2025_-_13_Jan_2026.pdf","CARLUCCIOS- SOUTHAMPTON SOUTHAMPTON",23.65
"14_Dec_2025_-_13_Jan_2026.pdf","SUMUP*A&S HOLLAND_S AMU ATHERTON",15
"14_Dec_2025_-_13_Jan_2026.pdf","WAITROSE SOUTHAMPTON    SOUTHAMPTON 815 Little Waitrose Southampto",3.62
"14_Dec_2025_-_13_Jan_2026.pdf","L2E942100149O UKVI      UKVI",-574
"14_Dec_2025_-_13_Jan_2026.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",108.78
"14_Dec_2025_-_13_Jan_2026.pdf","TESCO STORE 2452 2452TE EASTLEIGH",22.4
"14_Dec_2025_-_13_Jan_2026.pdf","Toolstation Eastleigh   Eastleigh",132.89
"14_Dec_2025_-_13_Jan_2026.pdf","MCDONALDS WEST QUAY #11 SOUTHAMPTON GOODS",19.46
"14_Dec_2025_-_13_Jan_2026.pdf","844043 Eastleigh        Eastleigh",3.8
"14_Dec_2025_-_13_Jan_2026.pdf","844043 Eastleigh        Eastleigh",8.4
"14_Dec_2025_-_13_Jan_2026.pdf","BARGA                   EASTLEIGH",12.98
"14_Dec_2025_-_13_Jan_2026.pdf","CARD FACTORY - SL - 745 EASTLEIGH, HAMP",1.49
"14_Dec_2025_-_13_Jan_2026.pdf","ARGOS 522975            MILTON KEYNES",45
"14_Dec_2025_-_13_Jan_2026.pdf","Toolstation Eastleigh   Eastleigh",39.3
"14_Dec_2025_-_13_Jan_2026.pdf","TESCO STORE 2452 2452TE EASTLEIGH",1.65
"14_Dec_2025_-_13_Jan_2026.pdf","844043 Eastleigh        Eastleigh",2.95
"14_Dec_2025_-_13_Jan_2026.pdf","19 High Street GB000000 EASTLEIGH",13
"14_Dec_2025_-_13_Jan_2026.pdf","SAINSBURY'S SUPERMARKET EASTLEIGH GOODS",2.9
"14_Dec_2025_-_13_Jan_2026.pdf","SAINSBURY'S SUPERMARKET EASTLEIGH GOODS",12.65
"14_Dec_2025_-_13_Jan_2026.pdf","SAINSBURY'S SUPERMARKET EASTLEIGH GOODS",3.65
"14_Dec_2025_-_13_Jan_2026.pdf","Costco Wholesale #124   Southampton",1
"14_Dec_2025_-_13_Jan_2026.pdf","Costco Wholesale #124   Southampton",13.85
"14_Dec_2025_-_13_Jan_2026.pdf","TESCO STORE 2452 2452TE EASTLEIGH",8.6
"14_Dec_2025_-_13_Jan_2026.pdf","ENTERPRISE RENT A CAR U EASTLEIGH",76.21
"14_Dec_2025_-_13_Jan_2026.pdf","DOJO*RIO S PIRI PIRI SO SOUTHAMPTON",15.82
"14_Dec_2025_-_13_Jan_2026.pdf","44834 Heathrow T2 Depar Hounslow",9.8
"14_Dec_2025_-_13_Jan_2026.pdf","ASDA FILLING STATION (U EASTLEIGH ASDA Fuel",15.35
"14_Dec_2025_-_13_Jan_2026.pdf","B&Q EASTLEIGH 1031      EASTLEIGH ESH182 - Eastleigh",12.8
"14_Dec_2025_-_13_Jan_2026.pdf","Toolstation Eastleigh   Eastleigh",99.43
"14_Dec_2025_-_13_Jan_2026.pdf","JD Wetherspoons PLC     Watford,",9.51
"14_Dec_2025_-_13_Jan_2026.pdf","Toolstation Eastleigh   Eastleigh",9.46
"14_Dec_2025_-_13_Jan_2026.pdf","Toolstation Eastleigh   Eastleigh",14.24
"14_Dec_2025_-_13_Jan_2026.pdf","VUE ENTERTAINMENT LTD   LONDON",9.49
"14_Dec_2025_-_13_Jan_2026.pdf","ROOSTERS PIRI PIRI-EAST EASTLEIGH",5.99
"14_Dec_2025_-_13_Jan_2026.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",16.35
"14_Dec_2025_-_13_Jan_2026.pdf","6061 Eastleigh          Eastleigh",24.99
"14_Dec_2025_-_13_Jan_2026.pdf","LEBARA MOBILE LIMITED   LONDON",10
"14_Feb_2026_-_13_Mar_2026.pdf","PAYMENT RECEIVED - THANK YOU",-2383.17
"14_Feb_2026_-_13_Mar_2026.pdf","NETFLIX.COM             LONDON",12.99
"14_Feb_2026_-_13_Mar_2026.pdf","LIDL SOU EASTLEIGH 0380 EASTLEIGH LIDL-STORES",16.03
"14_Feb_2026_-_13_Mar_2026.pdf","TEMU.COM                LONDON",38.5
"14_Feb_2026_-_13_Mar_2026.pdf","LEBARA MOBILE LIMITED   LONDON",10
"14_Feb_2026_-_13_Mar_2026.pdf","TK MAXX                 EASTLEIGH",19
"14_Feb_2026_-_13_Mar_2026.pdf","TEMU.COM                LONDON",-1.78
"14_Feb_2026_-_13_Mar_2026.pdf","TEMU.COM                LONDON",-1.42
"14_Feb_2026_-_13_Mar_2026.pdf","Toolstation Eastleigh   Eastleigh",1.9
